aboriginal,"kb. orang asli. He's an a. Dia orang asli. --ks. asli, pribumi, a. inhabitant  penduduk asli."
aborigine,"kb. orang asli, orang pribumi (biasanya sangat bersahaja)."
abort,"kkt. menggagalkan, menggugurkan. kki. gagal, gugur."
abortion,"kb.1 (micarriage) pengguguran kandungan, keluron, abortus, keguguran.2. kegagalan."
abortionist,"kb.tukang menggugurkan kandungan aborteur, aborteuse."
abortive,"ks.gagal, seman. a. attempt percobaan yang gagal."
abound,kki. to a. in berlimpah-limpah          .to a. with penuh dgn.                  The ship abounds with rats Kapal itu penuh dengan tikus.
about,kk. 1 kira-kira.2 hampir.3 baru saja mau.4 dimana-mana.5 disana-sini    .6 kesana-sini.
above,"kb. yang diatas. --ks. tersebut diatas --kk. (di) atas. --kd. 1 diatas. 2 bebas dari. 3 lebih tinggi dari. 4  sukar, sulit  above-average ks. lebih dari biasa."
aboveboard,"ks. tulus hati, ikhlas, jujur. His actions are a. Perbuatan-perbuatannya adalah tulus hati. The  management of that business so far has proved a. Pimpinan perusahaan itu sampai sekarang ternyata jujur."
aboveground,"ks., kk. diatas (permukaan) tanah. a. grave mound tumpukan kuburan diatas tanah. Some snakes live a. Beberapa macam ular hidup diatas permukaan tanah."
abovementioned,ks  yang tersebut diatas.
abracadabra,"kb. 1 omong kosong, bukan-bukan. 2 ucapan pendek yang dipakai sebelum menyihir s.s.t. atau mengerjakan sunglap; sim-sala-bim."
abrasion,"kb. luka lecet, kegores ringan."
abrasive,"kb. 1 penggosok, alat pengempelas, ampelas. 2 penggosok, obat asah. ks. kasar, kesat."
abreast,"kk., ks.berbaris dua-dua.                 to be a. of/with mengikuti"
abridg(e)ment,"kb .1 pemendekan, penyingkatan, (ke) singkatan. a. of a dictionary  pemendekan kamus. 2 pembatasan, pelanggaran. a. of human rights  pembatasan hak manusia."
abridge,"kkt. 1 memendekkan, memperpendek, menyingkat, mempersingkat. 2 membatasi, mengurangi. 3 mengikhtisarkan."
abridged,abridged
abroad,"kk. 1 luar negeri.2 dgn luas.             3 tersiar,tersebar.4 meninggalkan rumah."
abrogate,"kkt. mencabut, membatalkan."
abrogation,"kb. pencabutan, pembatalan, penghapusan. a. of a treaty pencabutan perjanjian."
abrupt,"ks.1 kasar. 2 tiba-tiba,tak tersangka, mendadak.3 curam, terjal."
abruptly,kk. 1 dgn kasar. 2 dgn tiba-tiba.
abruptness,"kb. kekasaran, kekurangajaran       2 kecuraman, keterjalan."
abs,"1 tak hadir, mangkir. 2 mutlak. 3 abstrak."
abscess,"kb. abses. barah. bisul bernanah, bengkak bernanah.kki.menjadi abses, membisul."
abscessed,"ks. kena abses, bengkak bernanah."
abscissa,kb. absis.
abscond,abscond
absence,"kb. 1 kemangkiran.2 ketidak hadiran.3 ketiadaan, ketidakadaan, kekurangan."
absent,"ks.absen, mangkir,tak hadir.kkt. meninggalkan.absent-minded ks.     1 lupa-lupa,  linglung,  mengelamun. 2 pelupa,pelalai."
absentee,kb. s.s.o. yg tak ada atau tak hadir di tempatnya.
absenteeism,"kb. ketidakhadiran, kemangkiran."
absentmindedness,kb. kelinglungan
absinthe,kb. absinth
absolute,"kb. absolutes j. hal-hal yg mutlak  (spt kebenaran, keadilan dsb).-ks.   1 penuh, sepenuhnya. 2 mutlak.       3 nyata.4 pasti,tentu,positip             . 5 absolut 6.sebetulnya,sesungguhnya."
absolutely,"kk. 1 sama sekali, betul, benar.        2 memang."
absolution,kb. 1 absolusi.2 pengampunan pengampunan/permaafan dosa.
absolve,"kkt. membebaskan, memerdekakan. He was absolved from his promise  Ia dibebaskan dari janjinya"
absorb,"kkt.1 mengisap, menyerap.              2 menahan, menyangga                   3 menangkap,mengerti.                    4 mengabsorbir, menampung.          5 memikat,mengasyikkan.                6 mengisap, menyedot, menghirup, membuat menyerap."
absorbed,"ks. asyik,terpikat."
absorbent,ks.pengisap.a. cotton kapas pengisap/pembalut.
absorbing,ks.1 sangat menarik.                         2 mengasyikkan.
absorption,"kb. 1 pengisapan. penyerapan, absorpsi.2  penggabungan perusahaan kecil kedalam perusahaan yg lebih besar.               3 kekhusyukan,keasyikan."
absorptive,ks.yg berh.dgn absorpsi. a. capacity daya absorpsi.
abstain,"kki. 1 berpantang.2 menjauhkan diri, tak memberi suara."
abstainer,kb. pemantang. He's an a . Ia pemantang alkohol.
abstemious,ks. bebas dari minuman keras.
abstention,kb.1 abstensi.2 suara blangko.
abstinence,"kb. pertarakan, pantang, pemantangan, penahanan nafsu"
abstract,"ks. 1 abstrak. 2 mujarad. -kkt.          1 meringkaskan, mengintisarikan, mengikhtisarkan. 2 memisahkan."
abstraction,"kb. 1 abstraksi, keniskalan.              2 pemisahan, pemindahan."
abstruse,"ks. mus(y)kil, sulit dimengerti, mendalam. Physics is an a. subject Ilmu alam adalah mata pelajaran yang muskil."
abstruseness,"kb. kedalaman, kemuskilan."
absurd,"ks. 1 (impossible, unreasonable, out of the question) mustahil, tak masuk akal. 2 (ridiculous, laughable)  menggelikan, menertawakan."
absurdity,"kb. (yj -ties) kemustahilan, keadaan yang bukan-bukan."
absurdly,kk. bukan main.
abundance,"kb. kelimpahan, keadaan berlimpah-limpah. an a. food bahan makanan yang berlimpah-limpah.."
abundant,"ks. berlebih-lebih, berlimpah-limpah."
abundantly,"kk. berlimpah-limpah, berlimpah-ruah."
abuse,"kb. 1 penyalahgunaan, salah-pakai. 2 perlakuan kejam, siksaan.             3 makian.  -kkt. 1 (misuse) menyalahgunakan. 2 (mistreat) memperlakukan dengan kasar/kejam/keji. 3 (scold, insult) memaki-maki, mencacimaki.             4 mengkhianati."
abusive,"ks. kasar, kejam, menghina."
abut,"kki. (abutted) berbatas kepada, berbatasan. The two yards a. upon e.o. Dua halaman itu berbatasan satu sama lain."
abysmal,ks. bukan kepalang. His ignorance is a. Kejahilannya bukan main.
abyss,kb. jurang ngarai yang dalam sekali.
academic,"kb. akademikus, sarjana.ks.             1 akademis.2 menurut teori,"
academician,"kb. akademikus, sarjana.  academicians j. kaum akademisi."
academy,kb.(j.mies) 1 akademi.2 sekolah menengah                                (biasanya swasta/partikelir).
acc.,"1 rekening.2 (according) menurut.    3  (accusative) kasus keempat, akuativ."
accede,"kki. 1 mengabulkan, menyetujui      .2 naik.3 ikut serta."
accelerate,"kkt. mempercepat,melajukan.-kki. mempercepatkan jalannya."
accelerated,ks. yg di percepat.
acceleration,"kb. 1 percepatan, perlajuan (mobil, pertumbuhan ekonomi). 2 akselerasi"
accelerator,"kb. pedal gas, akselerator, alat pemercepat"
accent,"kb. 1 logat, aksen,2 tekanan.3 titik berat, tekanan.- kkt.memberi tekanan pada, menekankan."
accentual,ks. beraksen. Much poetry is a. Kebanyakan puisi beraksen.
accentuate,"kkt. 1 menonjolkan.2 menekankan (pd), mengutamakan, mementingkan.to a.safety measures menekankan (pd) tindakan-tindakan keselamatan."
accentuation,"kb.1 penekanan, tekanan.                2 penitikberatan."
accept,"kkt. 1 menerima (baik)                       2 menyetujui,mengabulkan.-kki. menerima."
acceptability,kb. hal dapat diterima.
acceptable,"ks.1 dpt diterima,2 pantas cocok."
acceptance,"kb.1 penerimaan.2 sambutan, dukungan."
accepted,accepted
access,kb. jalan masuk.There is a to their yard Ada jalan masuk ke halaman mereka.
accessibility,"kb. hal dapat masuk, hal mudah dicapai."
accessible,"ks. dapat diperoleh.2 dapat menerima, dpt dicapai.3 dpt diambil  4 mudah didatangi,5 dpt didatangi."
accession,kb. penaikkan.2 tambahan.              3 pencapaian.
accessory,"kb. (j -ries) 1 barang tambahan, alat ekstra.2 Law : kaki tangan."
accident,"kb.kecelakaan.kebetulan. accident-prone ks. mudah tertimpa kecelakaan,sering tertimpa bencana."
accidental,ks. kebetulan.an a. meeting suatu pertemuan yg secara kebetulan.
accidentally,kk. 1 (dgn) tdk sengaja.   2 (secara) kebetulan.
acclaim,kb. tepuk tangan sorak.-kkt.            1 menyambut dengan gembira.        2 menyatakan. 3 menyoraki.
acclamation,"kb. 1 aklamasi,suara bulat.               2 sambutan gembira,sambutan dgn (ber) tepuk tangan."
acclimate,kkt. menyesuaikan diri kpd suatu iklim.
acclimatize,=   ACCLIMATE.
accolade,"kb. penghargaan, penghormatan, pujian."
accommodate,"kkt.1 memuat, menampung.             2 memberi akomodasi/penginapan. 3 menolong.4 menyesuaikan/ mencocokan diri.5 mendamaikan."
accommodating,"ks. peramah, baik hati, suka menolong."
accommodation,"kb. 1 pertolongan, bantuan.             2 penyesuaian diri.3 penggunaan."
accommodations,"j. akomodasi, penginapan."
accompanist,kb. pengiring.
accompany,"kkt a.(ed) 1 menemani, menyertai.    2 mengiringi."
accompanying,"ks. yg mengiringi,yg mendampingi, yg menemani."
accomplice,"kb. kaki tangan,antek."
accomplish,"kkt.1 menyelesaikan, menyempurnakan.2 menyelesaikan, mengerjakan."
accomplished,"ks. ulung, pandai."
accomplishment,"kb.1 prestasi.2.kepandaian kecakapan.3 penyelesaian, pencapaian."
accopaniment,kb. 1 iringan (bunyi-bunyian).            2 menyertai.
accord,"kb.1 persetujuan.2 keserasian.-kkt. memberi, menyampaikan. kki. cocok, sesuai,selaras,seia-sekata."
accordance,"kb. in a. with 1 sesuai dgn, menurut.2 berkenaan dgn, sesuai dgn,memenuhi."
accordingly,"kk.1 sesuai dgn itu. 2 jadi, karena itu, maka."
accordion,"kb. akordeon, harmonika tangan."
accordionist,kb. pemain akordion.
accost,"kkt.1 menyapa, menegur                  2 mendekati,mendatangi."
account,"kb. 1 laporan, cerita.2 catatan, rekening.3 uang,rekening.               4 tanggungan,rekening, nama.        5 harga, nilai.6 bagi/karena seorang.7 perhitungan.8 (charge) Saya boleh berhutang di toko ini."
accountability,"kb. keadaan untuk dipertanggung-jawabkan, keadaan dpt dimintai pertanggung-jawab."
accountable,ks. bertanggung-jawab. He is a. for the child's unhappiness Ia bertanggung-jawab atas kesusahan anak itu.
accountancy,"kb. akuntansi, pembukuan."
accountant,kb. akuntan.
accounterments,kb. j. perlengkapan-perlengkapan prajurit.
accounting,kb 1 akuntansi.  2 laporan.
accredit,"kkt. 1 memberi kuasa resmi kpd seorang wakil, mengangkat seorang wakil.2 mengakui (sesudah memenuhi syarat-syarat resmi)."
